stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634718.264247,1663634723.288228,5.023981,5.023981,5.023981,5.023981,5.023981,4,0,240,0,0,0,286.625275,0.597136,0,0,0,0,0,0,attack
1663634718.881696,1663634718.881696,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634718.881854,1663634718.881854,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634718.882324,1663634718.882478,0.000154,0.000154,0.000154,0.000154,0.000154,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634718.882398,1663634718.882553,0.000155,0.000155,0.000155,0.000155,0.000155,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634718.883072,1663634723.884908,5.001836,5.001836,5.001836,5.001836,5.001836,2,0,148,0,64,0,118.356544,0.199927,0,0,0,0,0,0,normal
1663634718.883095,1663634723.884965,5.001870,5.00187,5.00187,5.00187,5.00187,2,0,148,0,64,0,118.355728,0.199925,0,0,0,0,0,0,normal
1663634720.879575,1663634726.083636,5.204061,5.204061,5.204061,5.204061,5.204061,4,0,168,0,0,0,193.694885,0.576473,0,0,0,0,0,0,normal
1663634724.312225,1663634729.304253,4.992028,4.992028,4.992028,4.992028,4.992028,4,0,240,0,0,0,288.4599,0.600958,0,0,0,0,0,0,attack
1663634728.883366,1663634728.883366,0.000000,0,0,0,0,0,1,0,74,64,64,0,0,0,0,0,0,0,0,normal
1663634728.883576,1663634728.883576,0.000000,0,0,0,0,0,1,0,74,64,64,0,0,0,0,0,0,0,0,normal
1663634728.884143,1663634728.884317,0.000174,0.000174,0.000174,0.000174,0.000174,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634728.884179,1663634728.884352,0.000173,0.000173,0.000173,0.000173,0.000173,1,1,84,132,64,64,0,0,0,0,0,0,0,0,normal
1663634728.885032,1663634733.885707,5.000675,5.000675,5.000675,5.000675,5.000675,2,0,162,0,64,0,129.582504,0.199973,0,0,0,0,0,0,normal
